,alias,status,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,description,issuer_id
143,KLA CORP,UNCONFIRMED,-1,,BOND,,,,,,,,KLA Corp,e1395369
144,LEM HOLDING SA,UNCONFIRMED,41692353,LEHN,STK,EBS,CHF,,EBS,,,,LEM HOLDING SA-REG,
145,LEM HOLDING SA,UNCONFIRMED,80868424,LELA,STK,FWB,EUR,,FWB,,,,LEM HOLDING SA-REG,
146,LENNAR CORP,UNCONFIRMED,9091,LEN,STK,NYSE,USD,,NYSE,,,,LENNAR CORP-A,
147,LENNAR CORP,UNCONFIRMED,17722625,LEN B,STK,NYSE,USD,,NYSE,,,,LENNAR CORP - B SHS,
148,LENNAR CORP,UNCONFIRMED,75098574,LNN,STK,FWB2,EUR,,FWB2,,,,LENNAR CORP-A,
149,LENNAR CORP,UNCONFIRMED,297282028,LENB,STK,MEXI,MXN,,MEXI,,,,LENNAR CORP - B SHS,
150,LENNAR CORP,UNCONFIRMED,603513463,LNN0,STK,FWB2,EUR,,FWB2,,,,LENNAR CORP - B SHS,
151,LENNAR CORP,UNCONFIRMED,-1,,BOND,,,,,,,,Lennar Corp,e1433887
152,LENNAR CORP,UNCONFIRMED,-1,,BOND,,,,,,,,WCI Communities Inc / Lennar Corp,e3244576
153,LAM RESEARCH CORP,UNCONFIRMED,271308,LRCX,STK,NASDAQ,USD,,NASDAQ,,,,LAM RESEARCH CORP,
154,LAM RESEARCH CORP,UNCONFIRMED,78385714,LAR,STK,FWB,EUR,,FWB,,,,LAM RESEARCH CORP,
155,LAM RESEARCH CORP,UNCONFIRMED,-1,,BOND,,,,,,,,Lam Research Corp,e1394219
156,LULULEMON ATHLETICA INC,UNCONFIRMED,45157951,LULU,STK,NASDAQ,USD,,NASDAQ,,,,LULULEMON ATHLETICA INC,
157,LULULEMON ATHLETICA INC,UNCONFIRMED,80844607,33L,STK,FWB,EUR,,FWB,,,,LULULEMON ATHLETICA INC,
158,LULULEMON ATHLETICA INC,UNCONFIRMED,337066432,LULU,STK,MEXI,MXN,,MEXI,,,,LULULEMON ATHLETICA INC,
159,MATSON INC,UNCONFIRMED,108649896,MATX,STK,NYSE,USD,,NYSE,,,,MATSON INC,
160,MATSON INC,UNCONFIRMED,603526806,68M,STK,FWB2,EUR,,FWB2,,,,MATSON INC,
161,MATSON INC,UNCONFIRMED,-1,,BOND,,,,,,,,Matson Inc,e1394654
162,MCKESSON CORP,UNCONFIRMED,9657,MCK,STK,NYSE,USD,,NYSE,,,,MCKESSON CORP,
163,MCKESSON CORP,UNCONFIRMED,78726320,MCK,STK,FWB2,EUR,,FWB2,,,,MCKESSON CORP,
164,MCKESSON CORP,UNCONFIRMED,87489479,MCK,STK,MEXI,MXN,,MEXI,,,,MCKESSON CORP,
165,MCKESSON CORP,UNCONFIRMED,407149654,MCK.TEN,STK,CORPACT,USD,,CORPACT,,,,MCKESSON CORP - TENDER,
166,MCKESSON CORP,UNCONFIRMED,408520391,MCK.ODD,STK,CORPACT,USD,,CORPACT,,,,MCKESSON CORP - TENDER ODD LOT,
167,MCKESSON CORP,UNCONFIRMED,-1,,BOND,,,,,,,,McKesson Corp,e1408213
168,MELEXIS NV,UNCONFIRMED,36794737,MELE,STK,ENEXT.BE,EUR,,ENEXT.BE,,,,MELEXIS NV,
169,MELEXIS NV,UNCONFIRMED,507456466,MLXSY,STK,PINK,USD,,PINK,,,,MELEXIS NV - UNSP ADR,
170,MOLINA HEALTHCARE INC,UNCONFIRMED,19012089,MOH,STK,NYSE,USD,,NYSE,,,,MOLINA HEALTHCARE INC,
171,MOLINA HEALTHCARE INC,UNCONFIRMED,82585377,MHG,STK,FWB2,EUR,,FWB2,,,,MOLINA HEALTHCARE INC,
172,MOLINA HEALTHCARE INC,UNCONFIRMED,-1,,BOND,,,,,,,,Molina Healthcare Inc,e1432397
173,MONCLER SPA,UNCONFIRMED,140054327,MONC,STK,BVME,EUR,,BVME,,,,MONCLER SPA,
174,MONCLER SPA,UNCONFIRMED,639935056,MONRY,STK,PINK,USD,,PINK,,,,MONCLER SPA-UNSPONSORED ADR,
175,MONCLER SPA,UNCONFIRMED,371398650,MONCN,STK,MEXI,MXN,,MEXI,,,,MONCLER SPA,
176,MICROSOFT CORP,UNCONFIRMED,272093,MSFT,STK,NASDAQ,USD,,NASDAQ,,,,MICROSOFT CORP,
177,MICROSOFT CORP,UNCONFIRMED,8988746,4338,STK,SEHK,HKD,,SEHK,,,,MICROSOFT CORP,
